snippet,headline__main,year_mo_day,sentiment_analysis,compound,negative,neutral,positive
The vote came after a yearlong effort by state education officials to find ways to control such colleges more closely in the face of concerns about poor educational practices.,New York Tightens Rules on Commercial Colleges,20061205,-0.4767,-0.4767,0.103,0.897,0
"Robert Gates arrived before the Senate today as a savior, welcomed as “a refreshing breath of reality” and applauded for his candor.",Senators Praise Gates as a Welcome Change,20061205,0.5994,0.5994,0,0.795,0.205
"No Russians will be extradited to Britain in the case of the poisoning of a former spy, Russia’s prosecutor general said.",Russia Limits British Inquiry Into Ex-Spy’s Death,20061205,-0.7184,-0.7184,0.25,0.75,0
"The military commander removed the civilian government today, declaring himself interim president and suspending parts of the Constitution.",Fiji Military Leader Launches Coup,20061205,0,0,0,1,0
"In the continuing quest to see if humans can outpace their electronic creations, the humans have lost another, perhaps decisive, round.","Once Again, Machine Beats Human Champion at Chess",20061205,0.296,0.296,0.093,0.726,0.181
MORNING SESSION OF A HEARING OF THE SENATE ARMED SERVICES COMMITTEE.,The Nomination Hearing for Robert M. Gates,20061205,0,0,0,1,0
Turkey faced a suspension of negotiations because of a continuing dispute over Cyprus.,Turkey Faces Setback in European Union Bid,20061205,-0.4019,-0.4019,0.213,0.787,0
"The seminar follows comments by Iran’s president, who said the scale of the genocide had been exaggerated.\n",Iran to Host Scholarly Seminar on Holocaust,20061205,-0.1027,-0.1027,0.08,0.92,0
The health department’s new limits have thrust New York City into the forefront of efforts to reduce the consumption of artificial trans fats.,New York Bans Most Trans Fats in Restaurants,20061205,0,0,0,1,0
The former Baltimore Orioles icon was cautious with his answers and never mentioned Mark McGwire by name.,Not His Turf: Ripken Gives His View of Steroids Debate,20061205,-0.1027,-0.1027,0.08,0.92,0
"Among this year’s crop of wine books, here are six volumes that are especially noteworthy.","Settling in, Glass in Hand, to Read of Wine",20061206,0,0,0,1,0
Comparing two new high-definition discs. And the winner is ...,The DVD Tackles the 21st Century,20061206,0.5859,0.5859,0,0.703,0.297
"As both the price and size of computer chips shrink, manufacturers are enhancing devices for people with limited vision, hearing or mobility.",Trimming the List of Things People Can’t Do,20061206,0.0258,0.0258,0.079,0.837,0.084
"With no one looking, gadgets learned to connect the dots.",Surprising Skills,20061206,-0.296,-0.296,0.196,0.804,0
A treat for listeners for the same digital clarity heard on CDs.,"Radio Stations Add Personalities, Digitally",20061206,0.6597,0.6597,0,0.625,0.375
A few developers have gone beyond creating games just like the ones that made money last year and the year before.,Combat as Usual? Not With These Games,20061206,0.5719,0.5719,0,0.793,0.207
"Until recently, people venturing outdoors for sports or recreation worried only about batteries for their flashlights.",Not Mutually Exclusive: Electronics and the Wilderness,20061206,-0.296,-0.296,0.128,0.872,0
"Falling prices, improved technology and more programming choices have made this year the time to jump in and buy a high-definition TV — really.","HDTVs, Ripe for the Picking",20061206,0.3612,0.3612,0.062,0.817,0.121
"Technology can make traveling much easier, with devices that allow people to stay connected to work or be entertained.",On the Road (in the Air) Again?,20061206,0.7506,0.7506,0,0.684,0.316
"Gadgetry, the source of inspiration for many a holiday gift, is no longer just for the home-entertainment altar or car dashboard.",High-Tech Wherever You Look,20061206,0.7783,0.7783,0.081,0.588,0.331
the Pearl Harbor Survivors Association has decided this year’s anniversary gathering will be its last in Hawaii.,Survivors Honor Pearl Harbor Victims,20061207,0,0,0,1,0
"Following is the text of remarks at a news conference on Thursday by President Bush and Prime Minister Tony Blair of Britain, as recorded by the White House:.",Text From the News Conference,20061207,0,0,0,1,0
Mets General Manager Omar Minaya left baseball's winter meetings happy after acquiring a hard-throwing reliever and gauging the marketplace for free agent Barry Zito and other top starters.,Mets' General Manager Leaves Florida Happy,20061207,0.8834,0.8834,0,0.671,0.329
At issue was the company’s use of private detectives to obtain phone records of board members and journalists.,Hewlett to Pay $14.5 Million in Deal on Spying Case,20061207,0,0,0,1,0
"A vote on Dr. Andrew C. von Eschenbach, who is serving as interim commissioner, is expected today or tomorrow.",F.D.A. Nominee Moves Toward Confirmation,20061207,0,0,0,1,0
"Mary J. Blige, the resilient R&B star, led the contenders for the annual awards from the recording academy.",Blige Leads Grammy Nominations With 8,20061207,0.4588,0.4588,0,0.85,0.15
"The continued spread of the Ebola virus could wipe out the species, researchers are reporting today.",Ebola Threatens to Kill Off Gorillas in Africa,20061207,0,0,0,1,0
President Bush distanced himself today from the Iraq Study Group’s central recommendations: pulling back all combat brigades over the next 15 months and direct talks with Iran and Syria.,Bush Expresses Caution on Key Points in Iraq Panel’s Report,20061207,-0.34,-0.34,0.079,0.921,0
"The Iraq panel is wrong to see a linkage between the Israeli-Arab conflict and the problems in Iraq, Israel’s prime minister said today.",Israel Disputes Connection to Iraq Turmoil,20061207,-0.7964,-0.7964,0.299,0.701,0
The co-chairmen of the Iraq Study Group called on Congress to endorse the group’s bipartisan call for a sharp change in course in the Iraq war.,Iraq Panel Chiefs Seek Support of Congress,20061207,-0.3818,-0.3818,0.134,0.788,0.079
"Andy Pettitte, who left the Yankees after the 2003 season, has agreed to a one-year, $16 million contract.",Pettitte Returns to the Yankees,20061208,0.2732,0.2732,0,0.884,0.116
"The University of Miami football program, roiled by problems off the field, hired Randy Shannon on Friday to replace the fired Larry Coker.",Hurricanes Promote Shannon to Head Coach,20061208,-0.743,-0.743,0.231,0.769,0
"Though they broke no rules, House Republican leaders were negligent in handling the case of former Representative Mark Foley, the House ethics committee said today.",Panel Finds Negligence but No Violations in Foley Case,20061208,-0.6124,-0.6124,0.179,0.821,0
"Nearly two weeks after police bullets ended Sean Bell’s life on the day he was to marry, his fiancé, Nicole Ashley Paultre, has legally taken his surname as her own.",Fiancé of Man Killed by Police Takes His Name,20061208,0.1027,0.1027,0,0.954,0.046
"In his parting speech, Defense Secretary Donald H. Rumsfeld voiced deep faith in the American people.",Rumsfeld Bids Farewell to Pentagon,20061208,0.5106,0.5106,0,0.765,0.235
A summary of the top stories in Russian newspapers on Friday.,Russia Opens Criminal Case on Poisonings,20061208,0.2023,0.2023,0,0.833,0.167
"Employers added 132,000 jobs last month, a moderate pace slightly above what forecasters were expecting.",Jobs Grew at a Moderate Pace Last Month,20061208,0,0,0,1,0
"A brief article on the College Football Spotlight page on Monday misstated the birthday of Joe Paterno, who said that despite his injuries in a recent sideline collision, he planned to coach Penn State’s football team from the sideline in the Outb...",For the Record,20061208,-0.3612,-0.3612,0.06,0.94,0
The public housing authority here gave final approval Thursday to demolishing four large housing complexes.,New Orleans Takes a Step to Raze Projects,20061208,0.5267,0.5267,0,0.747,0.253
"The High & Low Finance column in Business Day yesterday misstated the pattern of trading in Netflix, a DVD rental company. Data submitted by the company to the Securities and Exchange Commission indicated that the highest volume of short selling a...",Corrections: For the Record,20061209,0.0114,0.0258,0.051,0.896,0.053
"Three Queens police officers shot and wounded a man who pointed a loaded gun at them in a parking garage late last night, the police said.",Officers Shoot Man Seen as Aiming Gun,20061209,-0.34,-0.34,0.098,0.902,0
"The House voted to cement closer ties with India, endorsing a plan to allow U.S. shipments of civilian nuclear reactors and fuel to India.",House Passes Deal With India on Sale of Nuclear Reactors,20061209,0.2263,0.2263,0,0.921,0.079
The Senate passed legislation that would make it a federal crime to obtain a person’s telephone records without permission.,Senate Passes Bill to Criminalize Pretexting,20061209,-0.5423,-0.5423,0.179,0.821,0
"The 318 combined points on Thursday night were probably more indicative of the breakneck tempo the Suns forced than the Nets' defense, as poor or as absent as it might have been.","After Scoring 157 Points, the Nets Are at a Loss",20061209,-0.6808,-0.6808,0.167,0.792,0.041
"Chauncey Billups scored a season-high 31 points on 11-of-16 shooting, leading the visiting Detroit Pistons to an 87-83 victory over the Orlando Magic last night in a matchup of the top teams in the Eastern Conference.",Detroit’s Experience Proves to Be Too Much for Orlando,20061209,0.2023,0.2023,0,0.948,0.052
"Each week at Jets practice, backup quarterbacks Kellen Clemens and Patrick Ramsey share the task of impersonating the other team’s starting quarterback.",Jets’ Backups Tackle Role as Character Actors,20061209,0.296,0.296,0,0.905,0.095
"An article in the special Circuits section on Wednesday about high-definition radio receivers referred incorrectly to one model, the Polk Audio I-Sonic. While it is portable, it cannot be used in a car.",Corrections: For the Record,20061209,0.20095,0.4019,0,0.92,0.08
"An article in Business Day on Tuesday about holiday shopping at online retail malls operated by airlines misidentified one of the airlines. It is Midwest Airlines, not Midwest Express.",Corrections: For the Record,20061209,0.4019,0.4019,0,0.912,0.088
And the winner of the handbag classic is: Goyard by a mile!,The Trophy,20061210,0.6239,0.6239,0,0.71,0.29
Senator Barack Obama visited the key campaign state selling a message of hope but proclaiming himself wary of the “hype” surrounding him.,Obama Draws Crowds on Trip to New Hampshire,20061210,0.2382,0.2382,0,0.911,0.089
President Jalal Talabani said that the program to train Iraq’s security forces had been a repeated failure and denounced a plan to add more U.S. advisers.,Iraq’s President Harshly Criticizes U.S. Strategy,20061210,-0.2263,-0.2263,0.119,0.794,0.087
"Gen. Augusto Pinochet Ugarte, who repressed and reshaped Chile for nearly two decades, became a symbol of human rights abuse and corruption.","Augusto Pinochet, 91, Ex-Dictator of Chile, Dies",20061210,-0.7579,-0.7579,0.255,0.745,0
The discoveries are the first evidence that tie a specific person to the poison that killed Alexander V. Litvinenko.,New Radiation Traces Linked to Associate of Ex-Spy,20061210,-0.8402,-0.8402,0.333,0.667,0
Hundreds of thousands of pro-Hezbollah demonstrators pressed their call for the Lebanese government to resign.,Protesters Jam Beirut to Urge Government’s Ouster,20061210,-0.34,-0.34,0.146,0.854,0
The co-chairmen of the Iraq Study Group defended their approach amid criticism from conservatives and Iraq’s president.,Baker and Hamilton Defend Report on Iraq,20061210,-0.4404,-0.4404,0.153,0.847,0
Muhammad Yunus warned that the globalized economy was becoming a dangerous “free-for-all highway.”,Nobel Winner Warns of Dangers of Globalization,20061210,-0.6369,-0.6369,0.342,0.658,0
"The ability to digest milk in adulthood appeared as recently as 3,000 years ago, geneticists have found.",Study Detects Recent Instance of Human Evolution,20061210,0.3182,0.3182,0,0.874,0.126
The outgoing secretary of defense said American troops should stay in Iraq until the insurgents were defeated.,"Rumsfeld, in Iraq, Bids Farewell to U.S. Troops",20061210,-0.1027,-0.1027,0.149,0.673,0.178
The Bush administration accused China today of failing to meet commitments to the World Trade Organization.,U.S. Rebukes China on Trade Ahead of Paulson Trip,20061211,-0.6124,-0.6124,0.275,0.65,0.075
Four people who had contact with a business associate of a murdered former Russian spy were hospitalized today.,4 People in Germany Tested for Polonium,20061211,-0.6597,-0.6597,0.227,0.773,0
Workers protested attempts to overhaul the state’s pension and health systems as part of a tax reform package.,Government Workers Protest in New Jersey,20061211,-0.128,-0.128,0.086,0.914,0
The Russian government’s campaign to tighten control over the country’s energy industry claimed its first prize from a foreign energy company today.,Shell Offers to Sell Stake in Russian Project to Gazprom,20061211,0.7579,0.7579,0,0.706,0.294
New studies project that the Arctic Ocean could be mostly open water in summer by 2040 — several decades earlier than previously expected.,Arctic Ice Melting Faster Than Expected,20061211,0,0,0,1,0
"Kofi Annan, the departing secretary general, challenged the Bush administration to shun go-it-alone diplomacy.",U.N. Chief Takes Parting Shot at Bush’s Diplomacy,20061211,-0.1027,-0.1027,0.097,0.903,0
"Hewlett-Packard’s longtime chief financial officer, Robert P. Wayman, will give up the post and his seat on the company’s board at the end of the year.",Longtime H.P. Executive to Retire and Leave Board,20061211,0,0,0,1,0
"Terminal operations at six American seaports were sold today, closing a controversial chapter in American policy.",Dubai-Based Company Sells U.S. Port Businesses,20061211,-0.2023,-0.2023,0.114,0.886,0
President Bush traveled to the State Department today as part of a round of consultations over how to reshape Iraq policy.,Bush Begins Round of Talks on Iraq,20061211,0,0,0,1,0
"Gunmen killed three young boys today, further inflaming Palestinian factional tensions between Fatah and Hamas.",Palestinian Officer’s Sons Killed in Gaza,20061211,-0.802,-0.802,0.356,0.644,0
"The gathering included Holocaust deniers, discredited scholars and white supremacists under the guise of a “debate” on the era.",Iran Opens Conference on Holocaust,20061212,-0.7184,-0.7184,0.318,0.682,0
"A listing of credits on Wednesday with a film review of “Inland Empire,” using material provided by the filmmakers, misidentified the editor. It was David Lynch, not Mary Sweeney. (Ms. Sweeney was a producer of the film, along with Mr. Lynch.).",Corrections: For the Record,20061212,0.0903,0.3612,0,0.937,0.063
Mike Allen of Time magazine and Roger Simon of Bloomberg News are joining the new multimedia political news venture being overseen by two former Washington Post journalists.,More Journalists Join Political News Venture,20061212,0,0,0,1,0
The move will enable Google's employees to earn more money from stock options.,Google to Issue Transferable Stock Options,20061212,0,0,0,1,0
United Airlines is holding preliminary talks to merge with Continental Airlines.,United and Continental Discussing Possible Merger,20061212,0.4215,0.4215,0,0.781,0.219
Mark V. Hurd assured analysts and investors that he planned to continue cutting costs but did not foresee making major acquisitions in order to maintain growth.,Hewlett’s Chief Plans to Keep Cutting Costs,20061212,0.5994,0.5994,0.043,0.782,0.175
The payment resolves an inquiry into the comptroller's use of state workers to chauffeur his wife Carol.,"Hevesi to Pay $206,000 for Use of N.Y. Workers",20061212,0.1779,0.1779,0,0.904,0.096
"The investigation seeks to determine whether managers at EADS had inside information when they sold stock in March, when EADS shares were near an all-time high.",Police Search EADS Office in Insider-Trading Case,20061212,0.296,0.296,0,0.919,0.081
A hole in Harlem’s skyline was mended when the Ephesus Seventh-Day Adventist Church got its steeple back.,Steeple on Historic Harlem Church Replaced,20061212,0,0,0,1,0
"In an annual message for peace, Benedict strongly emphasized a theme rarely taken up in his nearly two years as pope: what he called the “ecology of peace.”",Pope Calls Energy Alternatives a Source of Peace,20061212,0.6808,0.6808,0,0.817,0.183
"Here is a recipe for the easiest candy to make: brittle. The only thing even remotely tricky about it is getting the sugar to the tint of brown you want -- not too light, and definitely not too dark, which can happen in a flash. You can use any nu...","Have No Fear, It's Only Candy",20061213,0.253833,0.6369,0.031,0.84,0.13
“Sideways” may have done a favor to a wine not much loved.,"Panned on Screen, Merlot Shrugs and Moves On",20061213,-0.1144,-0.1144,0.227,0.578,0.195
"Tim Johnson was hospitalized after becoming disoriented, throwing into question Democrats’ control of the Senate.",South Dakota Senator Is Hospitalized,20061213,-0.3612,-0.3612,0.152,0.848,0
The finding raised hopes of developing novel drugs that would abolish pain by blocking the gene’s function.,Researchers Find Gene Tied to Perception of Pain,20061213,-0.2023,-0.2023,0.246,0.542,0.212
Iranians will go to the polls on Friday in elections that are expected to be a test of whether President Mahmoud Ahmadinejad still has popular support.,Iran’s President Faces Test of His Support in Elections,20061213,0.6705,0.6705,0,0.807,0.193
"AIDS experts immediately hailed the result of the study by the National Institutes of Health, saying it gave the world a new way to fight the spread of AIDS.","Circumcision Reduces Risk of AIDS, Study Finds",20061213,-0.1779,-0.1779,0.085,0.852,0.062
President Bush said today that United States troops would not leave Iraq “before the job is done” and the country is free and stable.,Bush Consults With Pentagon on Iraq,20061213,0.815,0.815,0,0.679,0.321
The rate of delinquencies and foreclosures rose to 4.7 percent from July through September.,Late Mortgage Payments and Foreclosures Rise,20061213,-0.5267,-0.5267,0.207,0.793,0
"Other violence today killed dozens of people around Iraq, according to police and military reports given to reporters.",Car Bombs Kill at Least 15 in Shiite Areas of Baghdad,20061213,-0.8625,-0.8625,0.35,0.65,0
"State Senator Efraín González Jr., already under indictment on federal mail fraud charges, was indicted today on additional conspiracy charges.",State Senator Faces New Charges,20061213,-0.886,-0.886,0.416,0.584,0
"Rates of the most common form of breast cancer dropped a stunning 15 percent from August 2002 to December 2003, researchers reported on Thursday.","Breast Cancer Rate Falls in U.S., Study Shows",20061214,-0.4215,-0.4215,0.157,0.75,0.093
"Ahmet Ertegun shaped the careers of many of the top musicians of his day, including John Coltrane, Ray Charles, the Rolling Stones and Led Zeppelin.","Ahmet Ertegun, Founder of Atlantic Records, Dies",20061214,0.2023,0.2023,0,0.93,0.07
"New Jersey would be the third state, after Vermont and Connecticut, to establish civil unions for gay couples.",New Jersey Legislature Votes to Allow Civil Unions,20061214,0,0,0,1,0
New Jersey lawmakers approved the state’s s most sweeping measures yet in its efforts to be a leader in stem-cell research.,New Jersey Lawmakers Pass Stem-Cell Bill,20061214,0.4215,0.4215,0,0.865,0.135
The junior member of the Intrepid Sea Air & Space Museum’s nautical fleet left town yesterday without putting up a fight.,Submarine Joins Intrepid in Bayonne,20061214,0.2924,0.2924,0,0.892,0.108
"A company that once symbolized European integration and competitiveness has suffered a fall thanks to hubris, haste, inattention and obfuscation.",A Humbled Airbus Learns Hard Lessons,20061214,-0.0772,-0.0772,0.145,0.724,0.131
"The complex rewiring began ahead of schedule, at the midpoint of the 12-day mission of the shuttle Discovery.",Spacewalk to Rewire the Space Station Begins,20061214,0,0,0,1,0
"In a fictional broadcast by Belgian public television, Flanders had proclaimed its independence.",Belgians Unamused by Mock Report on Dissolution,20061214,0,0,0,1,0
Ivory Coast international and Chelsea striker Didier Drogba talked to Jack Bell of The New York Times. Read the transcript of their discussion.,Q. & A. With Chelsea Striker Didier Drogba,20061214,0,0,0,1,0
The attack came as President Hamid Karzai wound up a visit to southern Afghanistan where he assailed Pakistan for supporting Taliban insurgents and suicide bombers.,Suicide Bomber Kills 4 Afghans and Wounds 22,20061214,-0.6908,-0.6908,0.241,0.667,0.092
The firebrand editor stirred up decade-old passions last month with her plans for an O. J. Simpson book.,Judith Regan Is Fired After O. J. Simpson Book,20061215,0.4939,0.4939,0,0.842,0.158
"Gov. Jeb Bush of Florida suspended all executions in the state today, citing a troubled execution on Wednesday.",Florida Halts Executions After Injection Problem,20061215,-0.7269,-0.7269,0.289,0.711,0
"Senator Tim Johnson is making progress, but he remains seriously ill and may face a long recovery, doctors said.",Doctors Say Senator Is Making Progress,20061215,-0.5927,-0.5927,0.254,0.662,0.084
Defense Secretary Donald H. Rumsfeld said farewell to the Pentagon today with a combative address.,Rumsfeld Warns Against ‘Graceful Exits’ From Iraq,20061215,0.128,0.128,0,0.897,0.103
Efforts are focusing on a remote region near Tibet where two elite climbers apparently went missing.,Rescuers Search for American Climbers in China,20061215,-0.296,-0.296,0.136,0.864,0
"Nintendo is taking steps to keep users of its new console from damaging televisions, ceiling fans and bystanders.",Nintendo Tries to Rein in the ‘Whee!’ of Its Wii,20061215,-0.5106,-0.5106,0.163,0.837,0
President Bush today bestowed the nation’s highest civilian award on ten people from widely different backgrounds.,10 Awarded Presidential Medal of Freedom,20061215,0.5423,0.5423,0,0.811,0.189
"Hamas accused its rival Fatah today of trying to assassinate the Palestinian prime minister, a charge that ratcheted up tensions between the two groups.",Hamas and Fatah Clash as Tension Rises,20061215,-0.5994,-0.5994,0.189,0.811,0
Japan’s parliament voted to bring back patriotism into the classroom and to expand the status of its armed forces.,Japan Takes Steps Away From Postwar Pacifism,20061215,0.3182,0.3182,0,0.887,0.113
The prime minister said today that a corruption probe into a deal between BAE Systems and Saudi Arabia would damage Britain if it continued.,Blair Defends Decision to Drop Inquiry into Defense Contractor,20061215,-0.4939,-0.4939,0.132,0.868,0
William Z. Salcer survived a Nazi concentration camp and later made a fortune by inventing things in the United States.,"William Z. Salcer, 82, Successful Inventor, Is Dead",20061216,0.7269,0.7269,0,0.724,0.276
"A 65-year-old woman was shot dead in a Bronx apartment yesterday, and the police said they were investigating the possibility that one of her grandsons may have shot her accidentally.","Woman, 65, Shot Dead in Bronx",20061216,-0.7717,-0.7717,0.205,0.795,0
Running back Kevin Richardson led Appalachian State to its second consecutive N.C.A.A. Division I-AA national championship.,Appalachian State Wins I-AA,20061216,0.4404,0.4404,0,0.838,0.162
"A shipping channel blamed for widespread flooding during Hurricane Katrina and for extensive wetlands destruction should be closed, the Army Corps of Engineers said Friday in a report to Congress.",Army Corps Urges Closing of Channel,20061216,-0.7783,-0.7783,0.207,0.793,0
"For the second time in three nights, the Knicks spent a fourth quarter with their starters on the bench, only this time, they were stewing, hurting and dismayed as they watched the Pacers dominate.","Disheartened and Depleted, Knicks Watch Pacers Perform",20061216,-0.7269,-0.7269,0.191,0.809,0
State regulators ordered the owners of a group home where 10 people died in a Nov. 27 fire to shut down all four of their facilities for the mentally ill and the disabled. The decision by the Missouri Department of Health and Senior Services came ...,Missouri: Group-Home Owner Is Ordered to Shut Facilities,20061216,-0.4158,-0.8316,0.177,0.823,0
"Senator Lincoln Chafee, Republican of Rhode Island, has accepted a job at Brown University after losing his seat to Sheldon Whitehouse, a Democrat, last month.",Rhode Island: Senator to Take Post at Brown University,20061216,-0.128,-0.128,0.101,0.817,0.082
"Gallaudet University will proceed with disciplinary action against student demonstrators who forced the ouster of the university’s president, trustees said.",Gallaudet Will Proceed With Action Against Protesters,20061216,-0.4019,-0.4019,0.135,0.807,0.058
"The corrections secretary said the state would create a commission to review sentencing guidelines, a potential crucial step in Gov. Arnold Schwarzenegger’s efforts to relieve prison crowding.",California: Commission to Review Sentencing Guidelines,20061216,-0.0772,-0.0772,0.161,0.689,0.151
"T. J. Ford had 17 points, 9 rebounds and 8 assists Friday night to lead Toronto past the Nets. It was the Raptors’ second straight victory without the injured Chris Bosh.",Fans and Raptors Give Carter a Hard Time,20061216,0.4867,0.4867,0,0.867,0.133
"My plane was plunging, but life would go on.",Live Without Me. I’ll Understand. (Updated With Podcast),20061217,0,0,0,1,0
"The joy of fashion high jinks, the witty hat, the spontaneous mix of color, the exuberance of pattern, are the language of a few who live in their own world",Their Own Beat,20061217,0.5859,0.5859,0,0.881,0.119
"The loss dropped the Giants to 7-7, but left them in the thick of the playoff chase with two games remaining.","This Time, Giants Lose It in the Fourth",20061217,-0.1655,-0.1655,0.076,0.924,0
"Some clergy have criticized what they regarded as the church’s leftward drift, including the consecration of an openly gay bishop.",2 Virginia Parishes Vote to Leave Episcopal Church,20061217,-0.3612,-0.3612,0.116,0.884,0
"Rescuers searching for three missing climbers on Mount Hood in Oregon have located a snow cave, some equipment and what appears to be a “Y” carved into the snowy flanks of the mountain, and crews were converging on the location to see if there was...",Rescuers Find Evidence of 3 Missing Climbers in Oregon,20061217,-0.296,-0.296,0.05,0.95,0
"During a surprise visit, Prime Minister Tony Blair pledged his support for the Iraqi government and said British troops would remain “until the job is done.”","Blair, in Iraq, Offers Support for Leaders",20061217,0.5859,0.5859,0,0.827,0.173
The former secretary of state said today that a temporary increase in troop levels in Iraq probably would not help.,"Overstretched U.S. Forces Are ‘Losing’ in Iraq, Powell Says",20061217,0.0108,0.0108,0.105,0.789,0.107
The appeals followed a day of rallies and violent clashes in Gaza between supporters of Hamas and Fatah that killed two people.,Hamas and Fatah Leaders Call for Calm After Clashes,20061217,-0.7579,-0.7579,0.287,0.614,0.099
"Tony Romo once again looked like a quarterback Dallas could trust in a playoff run, completing 22 of 29 passes for 278 yards and 2 touchdowns as the Cowboys defeated the Falcons on Saturday night.",Cowboys Rebound in Atlanta and Widen Lead Over Giants,20061217,0.4019,0.4019,0.082,0.765,0.153
"Police officers yesterday fatally shot a 62-year-old man, whom neighbors described as mentally ill, after the man threatened them with an ax on a sixth-floor fire escape outside his Bronx apartment, the authorities said. It was the third fatal pol...",Police Shoot and Kill a Man They Say Wielded an Ax,20061217,-0.71785,-0.9349,0.321,0.645,0.034
David Crystal is that rare academic linguist who can discuss language authoritatively without resorting to the polysyllabic jargon.,"A Book About Language, With No Phoneme Unturned",20061218,0,0,0,1,0
"Hanna-Barbera created a pantheon of beloved characters, including Tom and Jerry, Yogi Bear and the Flintstones.","Joseph Barbera, Half of Cartoon Duo, Dies at 95",20061218,0.6486,0.6486,0,0.71,0.29
"Judith Regan complained about a “Jewish cabal against her,” according to notes released by the company.",News Corp. Describes Fired Editor’s Remarks,20061218,-0.4019,-0.4019,0.162,0.838,0
The decision to sell the privately held company is a surprise move by the company’s eccentric founder.,American Apparel to Be Sold to Investment Firm,20061218,0.2732,0.2732,0,0.877,0.123
"Insurgent and sectarian attacks against American and Iraqi targets reached the highest level ever over the last three months, a Pentagon report found.","Violence in Iraq Reaches New High, Report Says",20061218,-0.3612,-0.3612,0.119,0.823,0.058
The civil charges accused three former top executives of manipulating Fannie Mae’s books to fatten their bonuses.,U.S. Files Charges in Fannie Mae Accounting Case,20061218,-0.1027,-0.1027,0.281,0.496,0.223
"Biomet, a major manufacturer of artificial hips and knees, said today that it had agreed to be acquired by a private investment consortium for $10.9 billion.","Biomet Agrees to Buyout, Reports Option-Dating Problems",20061218,0.2732,0.2732,0,0.916,0.084
Partial election returns suggested that President Mahmoud Ahmadinejad had experienced a major setback barely over a year after his own election.,Election Seen as Setback for Iran’s President,20061218,0,0,0,1,0
"“We simply cannot afford to fail in the Middle East,” Robert M. Gates said at the Pentagon ceremony today.","Replacing Rumsfeld, Gates Issues Warning on Iraq",20061218,0.431,0.431,0,0.863,0.137
"Mahmoud Abbas, speaking with Prime Minister Tony Blair at his side, called again for peace talks with Israel.",Palestinian Leader Renews Call for New Elections,20061218,0.5423,0.5423,0,0.829,0.171
"President Bush said that the U.S. should expand the size of its armed forces, acknowledging that the military has been strained by the wars in Iraq and Afghanistan.",Bush Plans to Increase Size of Strained Military,20061219,-0.6124,-0.6124,0.188,0.744,0.068
"One day after losing Carmelo Anthony to a 15-game suspension, the Denver Nuggets filled their immediate superstar scoring gap by trading for Allen Iverson of the Philadelphia 76ers.",Iverson Traded to Denver Nuggets,20061219,-0.3818,-0.3818,0.091,0.909,0
"Gov. George E. Pataki, who had hoped to see the Freedom Tower completed during his watch, had to settle for two columns well below street level.","As Pataki Prepares to Step Down, Two Columns Rise at Ground Zero",20061219,0.836,0.836,0,0.721,0.279
"A lawyer for I. Lewis Libby Jr., who is charged with perjury and obstruction, says the vice president will testify.",Cheney to Be Defense Witness in C.I.A. Leak Case,20061219,-0.5719,-0.5719,0.217,0.783,0
John A. Lynch Jr. was sentenced today to 39 months in prison for accepting payoffs from a mining company.,Ex-Leader of N.J. Senate Sentenced to Prison,20061219,-0.2023,-0.2023,0.2,0.682,0.118
The deal is the latest example of a big publicly traded company being swallowed by private equity.,2 Private Firms to Buy Harrah’s for $16.7 Billion,20061219,0,0,0,1,0
"Yoko Ono pressured her chauffeur to perform “immoral and illegal” acts, the chauffeur’s lawyer asserted today.",Driver’s Lawyer Calls Yoko Ono Abusive,20061219,-0.2263,-0.2263,0.112,0.888,0
"Former Irish Prime Minister Charles Haughey accepted more than $15 million from businessmen in return for favors, according to the findings of an Irish tribunal.",Former Irish Premier Accused of Taking Millions in Secret Payments,20061219,0.4767,0.4767,0,0.849,0.151
Horrific images of villagers being slaughtered in what prosecutors said was a chemical attack directed at ethnic Kurds were shown at the trial today.,Graphic Images of Deaths Shown at Hussein Trial,20061219,-0.8176,-0.8176,0.263,0.737,0
The new regulations seem certain to slow the rapid rise in applications by foreign parents to adopt Chinese babies.,"China Tightens Adoption Rules, U.S. Agencies Say",20061219,0.4215,0.4215,0,0.817,0.183
"This recipe is an adaptation of one found in Jamie Oliver's book, “Jamie’s Italy.” It's a healthier version than the traditional Italian-American juggernaut; it omits breading and frying the eggplant, and instead calls for roasting the eggplant un...",EATING WELL; Uncovering Healthful Gems,20061220,0,0,0,1,0
"Several dozen California producers now make sparkling wine in the style of Champagne, but the best are Schramsberg, Roederer Estate and Iron Horse. Of these, Schramsberg has the best story by far.",Napa Sparkle to Make a French Nose Twitch,20061220,0.9413,0.9413,0,0.654,0.346
Federal regulators took steps today to speed up the approval process for telephone companies seeking to offer their own video services.,Phone Carriers Win a Skirmish In Cable Wars,20061220,0.4767,0.4767,0,0.866,0.134
The approval was the last regulatory hurdle for the biggest real estate project in Brooklyn history.,State Board Approves Atlantic Yards Project,20061220,0.4767,0.4767,0,0.829,0.171
"It is the third province in Iraq to have power transferred, the previous two having been under British control.",U.S. Hands Najaf Province Over to Iraqi Forces,20061220,0,0,0,1,0
The order for nine of the company’s A380 superjumbo jetliners is the first firm sale of the troubled new plane in more than a year.,Singapore Airlines Signs On for Airbus A380,20061220,-0.4588,-0.4588,0.115,0.885,0
